Title,Company,Location
"Forensic Consultant for investigations, compliance and background due diligence checks Zurich/Lugano",Ernst & Young AG,Zurich
Director Finance Business Systems,ViaSat Antenna Systems SA,"Remote (excluding ND, VT, DE, or RI)"
Science Lead - Digital Biomarkers & Remote Patient Management,F. Hoffmann-La Roche AG,Basel
Freelancer - Business Analyst for Client Data Migration,KPMG,Zurich
Werkstudent/in Data Engineer Analyst (50%),swissgrid ag,Aarau
Junior Desktop Analyst (m/f/d),Work Selection,Basel
Freelancer - Project Manager/Business Analyst - Trading Products,KPMG,Zürich
Business Analyst - Valuation,Banque Pictet & Cie SA,Geneva
Data Engineer,F. Hoffmann-La Roche AG,Basel
No title available,No company available,No location available
No title available,Alpiq,Lausanne
Data Engineer,F. Hoffmann-La Roche AG,Basel
Product Owner & Business Analyst Data Driven Claims Service,noimos AG,Zürich
No title available,No company available,No location available
Technical Business Analyst - Client Reporting,Banque Pictet & Cie SA,Geneva
Business Analyst - Valuation,Banque Pictet & Cie SA,Geneva
Graduate - Data Scientist (Financial Services),KPMG,Zurich
Technical Business Analyst - Client Reporting,Banque Pictet & Cie SA,Geneva
Pricing Analyst (m/w),univativ Schweiz AG,Zug/ZG
Temporary & Part-Time Junior Business Analyst – Sustainable Research,ABB Schweiz AG,Baden-Dattwil
Intern Data Engineering in Operations,Sensirion AG,Stäfa
Analyst,Anker Consulting AG,Zürich
(Senior) Data Engineer for IoT Products,Sensirion AG,Stäfa
Financial Analyst,Abbott AG,Switzerland &gt; Allschwil : H-127
Financial Analyst,Thoratec Switzerland GmbH,Basel
Business Analyst,Fasel IT Services GmbH,Zürich
Test Analyst,MSC Cruises SA,Geneva
Technical Business Analyst,FORUM MONDIAL DE L'ECONOMIE,Geneva
Broadcom Market Analyst,"Arrow ECS GmbH, Linz, Zweigniederlassung Wallisellen",Courbevoie
Revenue Management Analyst,MSC Cruises SA,Geneva
HRIS Business Analyst,MSC Cruises SA,Geneva
No title available,No company available,No location available
No title available,lastminute.com group,Chiasso
IT Business Analyst,"ING Bank N.V., Amsterdam, succursale de Lancy/Genève",Wil
Senior Business Analyst,ELCA Group SA,Bern
No title available,No company available,No location available
Cat Modeling Analyst,PARTNERRE HOLDINGS EUROPE LIMITED,Zurich
